step,current_time,current_time_norm,queue_length_norm,avg_waiting_time_norm,max_lateness_risk_norm,urgent_jobs_norm,energy_tariff_norm,energy_tariff,action_type,oven_id,num_panels,reward,action_validation_reward,launch_reward,heating_reward,wait_reward,energy_cost_penalty,lateness_penalty,completion_reward,queue_length,completed_jobs,total_reward,total_energy_cost,total_lateness_penalty,late_jobs_count,terminated,truncated,oven_0_busy,oven_0_heating,oven_0_cooling,oven_0_time_to_completion,oven_0_time_to_ready,oven_0_temperature,oven_1_busy,oven_1_heating,oven_1_cooling,oven_1_time_to_completion,oven_1_time_to_ready,oven_1_temperature
0,0.0,0.0,0.0,0.0,0.9950548,0.0,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.00069444446,0.009999666,0.0,0.9950548,0.0,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,2.0,0.0013888889,0.019997334,0.00833314,0.9950548,0.0,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,3.0000002,0.0020833334,0.029991003,0.016665123,0.9950548,0.0,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,4.0,0.0027777778,0.03997868,0.024994792,0.9950548,0.0,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,5.0,0.0034722222,0.049958374,0.033320993,0.9950548,0.0,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,6.0000005,0.004166667,0.059928104,0.04164257,0.9950548,0.0,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,7.0000005,0.0048611113,0.06988589,0.049958374,0.9950548,0.049958374,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,8.0,0.0055555557,0.07982977,0.058267258,0.9950548,0.049958374,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,9.0,0.00625,0.089757785,0.06656808,0.9950548,0.099667996,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,10.0,0.0069444445,0.099667996,0.07485969,0.9950548,0.099667996,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,11.0,0.007638889,0.10955847,0.08314097,0.9950548,0.099667996,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,12.000001,0.008333334,0.1194273,0.09141078,0.9950548,0.099667996,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,13.000001,0.009027778,0.12927258,0.099667996,0.9950548,0.099667996,0.33333334,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0.0,0.0,0.0,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,14.000001,0.009722223,0.13909245,0.10791151,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.004182979833964989,0.0,0.0,0.0,0.0,0.0,-0.004182979833964989,0.0,15,0,-0.004182979833964989,0.0,0.004182979833964989,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,15.0,0.010416667,0.14888503,0.11614021,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.020846650244798613,0.0,0.0,0.0,0.0,0.0,-0.020846650244798613,0.0,16,0,-0.025029630078763604,0.0,0.025029630078763604,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,16.0,0.011111111,0.1586485,0.124353,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.0374987463584337,0.0,0.0,0.0,0.0,0.0,-0.0374987463584337,0.0,17,0,-0.0625283764371973,0.0,0.0625283764371973,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,17.0,0.011805556,0.16838105,0.1325488,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.054130042972881695,0.0,0.0,0.0,0.0,0.0,-0.054130042972881695,0.0,18,0,-0.116658419410079,0.0,0.116658419410079,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,18.0,0.0125,0.17808087,0.14072649,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.07073136098211372,0.0,0.0,0.0,0.0,0.0,-0.07073136098211372,0.0,19,0,-0.18738978039219273,0.0,0.18738978039219273,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,19.0,0.013194445,0.18774621,0.14888503,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.08729358756678643,0.0,0.0,0.0,0.0,0.0,-0.08729358756678643,0.0,20,0,-0.2746833679589792,0.0,0.2746833679589792,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,20.0,0.013888889,0.19737533,0.15702336,0.9950548,0.099667996,0.33333334,0.5,0,0,0,-0.10380769607419169,0.0,0.0,0.0,0.0,0.0,-0.10380769607419169,0.0,21,0,-0.3784910640331709,0.0,0.3784910640331709,0,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
