episode,total_reward,total_energy_cost,total_lateness_penalty,jobs_completed,jobs_late,throughput
0,6446.811496921717,1704.8,32.46850307826593,1244,14,0.8638888888888889
1,6468.624411194475,1694.7,5.587255472172416,1244,2,0.8638888888888889
2,6543.869304258191,1704.8,20.410695741790374,1261,12,0.8756944444444444
3,6676.111009435142,1693.2,23.658990564838906,1289,16,0.8951388888888889
4,6750.616680447275,1700.8,11.763319552706093,1301,11,0.9034722222222222
5,6838.614339903743,1704.3,17.0739934295706,1320,7,0.9166666666666666
6,6766.660695280267,1689.1,23.807638053048684,1308,13,0.9083333333333333
7,6766.842816280995,1700.8,15.537183718985741,1305,8,0.90625
8,6686.751358491033,1700.8,15.628641508948167,1289,7,0.8951388888888889
9,6639.7766977014535,1696.8,15.70330229852975,1280,6,0.8888888888888888
10,6693.743300967546,1693.2,41.026699032434294,1296,16,0.9
11,6679.575435924534,1692.7,11.602897408781198,1288,8,0.8944444444444445
12,6676.666517677356,1704.8,22.613482322626723,1288,12,0.8944444444444445
13,6660.721398005931,1704.8,23.558601994049216,1285,12,0.8923611111111112
14,6752.388324128534,1704.8,16.89167587144783,1302,9,0.9041666666666667
15,6782.392555849161,1708.8,23.787444150820285,1309,12,0.9090277777777778
16,6658.770542948328,1704.3,21.917790384987057,1285,13,0.8923611111111112
17,6641.518491180222,1685.6,25.641508819759892,1283,12,0.8909722222222223
18,6527.924475646212,1685.6,24.23552435377085,1260,15,0.875
19,6679.933800440428,1704.3,20.75453289288683,1289,8,0.8951388888888889
20,6622.856834993148,1693.2,11.913165006835563,1276,5,0.8861111111111111
21,6753.7473260951265,1697.2,22.922673904854896,1304,11,0.9055555555555556
22,6692.457400537919,1704.8,16.822599462062644,1290,11,0.8958333333333334
23,6548.867347828378,1706.3,24.854318838269872,1263,11,0.8770833333333333
24,6754.5485028147805,1700.8,27.83149718520068,1305,8,0.90625
25,6694.702951055855,1693.2,20.06704894412697,1292,14,0.8972222222222223
26,6694.604146315116,1697.2,17.06585368486415,1291,10,0.8965277777777778
27,6604.631090283544,1700.8,27.7489097164371,1275,10,0.8854166666666666
28,6715.1455903172,1700.8,27.23440968278108,1297,13,0.9006944444444445
29,6778.960533339208,1704.3,31.727799994105702,1311,12,0.9104166666666667
30,6753.650528879724,1700.8,28.729471120256143,1305,13,0.90625
31,6654.331476511595,1700.8,28.04852348838598,1285,15,0.8923611111111112
32,6759.077558928457,1693.2,25.692441071525245,1306,11,0.9069444444444444
33,6744.022991804381,1704.8,15.25700819560158,1300,11,0.9027777777777778
34,6700.190777005825,1697.2,11.479222994157064,1291,9,0.8965277777777778
35,6690.287576300369,1700.8,47.092423699613214,1296,16,0.9
36,6458.228868273945,1700.8,24.151131726037523,1245,17,0.8645833333333334
37,6736.460922234591,1696.7,16.61741109872442,1300,9,0.9027777777777778
38,6733.693936939215,1700.8,28.686063060767044,1301,16,0.9034722222222222
39,6778.462233053592,1704.8,25.817766946389817,1309,12,0.9090277777777778
40,6633.552574797226,1700.8,18.827425202755997,1279,15,0.8881944444444444
41,6781.958591099537,1704.8,17.321408900444155,1308,12,0.9083333333333333
42,6770.805444100589,1700.8,11.57455589939078,1305,10,0.90625
43,6809.5019697109365,1704.8,19.778030289044533,1314,12,0.9125
44,6745.679143042185,1700.8,36.70085695779621,1305,13,0.90625
45,6630.27323081624,1696.7,12.805102517074033,1278,10,0.8875
46,6710.419258338833,1697.2,26.250741661148485,1296,15,0.9
47,6803.606673016748,1704.8,15.67332698323358,1312,10,0.9111111111111111
48,6833.201680859724,1708.8,27.978319140256577,1320,13,0.9166666666666666
49,6579.0731436229025,1704.8,15.206856377078456,1267,9,0.8798611111111111
