episode,total_reward,total_energy_cost,total_lateness_penalty,jobs_completed,jobs_late,throughput
0,-36607.0202110429,1014.6000000000001,39539.520211042945,780,612,0.5416666666666666
1,-30954.057788615744,1002.95,33325.2152886158,688,580,0.4777777777777778
2,-32680.453039793425,941.3000000000005,35190.51470646013,665,511,0.4618055555555556
3,-23920.21144095771,1021.3500000000008,26507.04560762441,719,588,0.49930555555555556
4,-38443.63929679892,1022.5500000000004,41233.516796798955,763,714,0.5298611111111111
5,-29175.09958348774,1026.4000000000005,32042.98958348782,757,602,0.5256944444444445
6,-38165.36203486308,1021.3000000000004,40673.610368196445,668,579,0.4638888888888889
7,-32007.1864550351,984.3000000000003,34375.41812170182,679,537,0.47152777777777777
8,-29765.952933970188,966.4000000000007,31880.856267303545,688,615,0.4777777777777778
9,-27976.462967652533,999.9000000000001,30360.324634319226,667,552,0.46319444444444446
10,-22729.99875006219,965.4500000000007,25075.724583395542,728,556,0.5055555555555555
11,-24838.880237791876,1005.2500000000003,27162.932737791903,721,547,0.5006944444444444
12,-31943.349872577615,1070.8000000000018,34767.67987257765,800,687,0.5555555555555556
13,-35219.005763978974,1024.1500000000008,38071.95993064567,737,660,0.5118055555555555
14,-26653.519687601103,924.9000000000003,29055.01135426779,676,490,0.46944444444444444
15,-35721.51214825038,965.9500000000004,38209.71298158372,680,532,0.4722222222222222
16,-27717.54130743023,985.7000000000004,30293.84964076363,714,569,0.49583333333333335
17,-26756.378707478234,1043.0500000000009,29203.34120747828,739,594,0.5131944444444444
18,-30162.33730101583,995.3500000000003,32352.43146768254,638,589,0.44305555555555554
19,-41875.36327776485,1000.4000000000003,44658.88327776489,729,598,0.50625
20,-23495.466620677158,961.8500000000006,25964.21245401053,705,547,0.4895833333333333
21,-33081.68876767434,926.3000000000005,35378.38710100776,686,572,0.47638888888888886
22,-27772.640249717944,1012.0500000000006,30276.04608305131,743,570,0.5159722222222223
23,-26835.077972078387,966.4000000000005,29678.87797207845,725,593,0.5034722222222222
24,-24327.703269058333,975.7000000000005,26884.948269058394,729,566,0.50625
25,-31140.7955924915,1067.6500000000015,33833.91809249157,726,623,0.5041666666666667
26,-30440.56764439694,1020.3000000000005,33157.10597773033,777,603,0.5395833333333333
27,-30182.50299051925,1022.2500000000005,32537.85882385265,706,560,0.49027777777777776
28,-28565.175347692006,1073.200000000003,31111.56534769204,730,618,0.5069444444444444
29,-34195.48878703362,1000.3000000000004,36773.20712036701,723,601,0.5020833333333333
30,-27480.795773331047,987.5500000000006,29586.959939997756,671,529,0.46597222222222223
31,-40542.38542557358,1052.7500000000018,43328.04292557359,737,635,0.5118055555555555
32,-34616.451524817545,1014.3500000000003,37369.039024817575,767,614,0.5326388888888889
33,-24592.454560109414,1052.900000000002,27216.359560109446,733,513,0.5090277777777777
34,-35254.44691059968,1044.7000000000012,38243.321910599756,767,616,0.5326388888888889
35,-35006.717919844516,1044.900000000001,37815.28625317792,735,639,0.5104166666666666
36,-31806.218899965275,897.0500000000005,34220.53473329864,621,485,0.43125
37,-30497.136298486173,995.7000000000005,33044.53129848624,676,578,0.46944444444444444
38,-34338.92448547365,1031.400000000001,37294.261152140316,767,640,0.5326388888888889
39,-19581.59438733684,1106.1500000000015,22242.185220670173,810,593,0.5625
40,-31345.719475943573,1026.75,34145.853642610346,755,650,0.5243055555555556
41,-26510.724932695724,1013.4000000000004,28922.18493269576,704,558,0.4888888888888889
42,-28742.5528463159,967.7000000000006,31468.07117964929,735,560,0.5104166666666666
43,-25242.859672461524,977.5500000000006,27577.920505794882,717,601,0.4979166666666667
44,-30689.666540069575,962.4500000000003,32972.53570673628,653,503,0.4534722222222222
45,-27747.923011026436,960.2500000000006,30323.492177693173,730,659,0.5069444444444444
46,-24807.19977432022,1040.2000000000012,27248.946440986925,773,543,0.5368055555555555
47,-28976.437267755908,1072.3500000000024,31607.95476775593,743,627,0.5159722222222223
48,-30991.62553621193,1054.6500000000017,33710.50803621198,761,612,0.5284722222222222
49,-19975.47340478544,1012.6000000000004,22672.726738118803,749,548,0.5201388888888889
