episode,total_reward,total_energy_cost,total_lateness_penalty,jobs_completed,jobs_late,throughput
0,-31100.569368381945,1036.0000000000005,34188.27270171534,807,687,0.5604166666666667
1,-22732.58123488465,1131.0500000000002,26635.727068218006,955,707,0.6631944444444444
2,-23309.630496046295,1148.0000000000002,26894.597162712955,912,735,0.6333333333333333
3,-33009.53263801828,1140.75,36804.11680468495,932,747,0.6472222222222223
4,-35200.94923348427,1137.8000000000006,38889.66256681763,881,724,0.6118055555555556
5,-32766.69853267137,1009.7500000000001,35713.08936600473,772,634,0.5361111111111111
6,-33117.830462668026,1125.3500000000004,36491.184629334704,839,638,0.5826388888888889
7,-35712.77627498443,1193.5,39255.66794165115,874,683,0.6069444444444444
8,-31508.201517400397,1097.8500000000004,34955.68735073376,844,693,0.5861111111111111
9,-31589.370855441055,1080.6000000000006,34608.54085544108,791,646,0.5493055555555556
10,-35589.56708058056,1013.3000000000001,38456.76541391392,751,563,0.5215277777777778
11,-36706.49758730846,1084.7000000000005,40041.239253975175,844,692,0.5861111111111111
12,-28444.58042676464,1113.4000000000005,32379.090426764647,884,725,0.6138888888888889
13,-30134.900776165494,1145.2000000000005,34015.047442832176,922,682,0.6402777777777777
14,-20785.1809795233,1175.55,24362.5884795233,913,698,0.6340277777777777
15,-28910.16112342534,1049.8000000000004,32281.951123425344,821,641,0.5701388888888889
16,-29786.889539800086,1121.35,33247.29037313344,873,696,0.60625
17,-25617.47192849279,1048.0000000000005,28552.908595159457,784,618,0.5444444444444444
18,-24446.37971851721,1099.6500000000005,27825.00555185055,860,635,0.5972222222222222
19,-37620.602691813074,1095.4000000000005,40891.96935847977,829,768,0.5756944444444444
20,-29187.06357749267,1179.2000000000003,32778.433577492695,891,775,0.61875
21,-20917.17507198421,1239.6999999999998,25176.320071984184,980,751,0.6805555555555556
22,-26533.079350810458,1155.0500000000002,30214.881850810492,910,603,0.6319444444444444
23,-25761.704416434957,1131.0500000000004,29093.673583101652,842,671,0.5847222222222223
24,-25691.861358510978,1096.3000000000004,29126.956358510986,858,651,0.5958333333333333
25,-31703.154890118207,1038.0500000000002,34720.184056784885,768,572,0.5333333333333333
26,-36854.89325260459,1043.45,40059.165752604626,807,609,0.5604166666666667
27,-17397.196550225814,1184.3000000000002,20940.568216892483,931,690,0.6465277777777778
28,-23998.541796014833,1062.1000000000006,27070.9534626815,809,567,0.5618055555555556
29,-18418.605793799576,1055.6500000000005,21833.604960466204,859,542,0.5965277777777778
30,-31046.67788886855,1053.4500000000005,34273.23372220184,821,668,0.5701388888888889
31,-38964.09124653337,1089.8000000000006,42076.60791320006,825,662,0.5729166666666666
32,-35843.85364693144,1044.8500000000004,39183.98948026481,809,614,0.5618055555555556
33,-35267.447940343394,1073.8500000000004,38511.90044034342,844,669,0.5861111111111111
34,-31291.560697005014,1055.3000000000002,34502.95236367171,847,662,0.5881944444444445
35,-29221.448964198822,1034.5000000000002,32052.50063086551,780,570,0.5416666666666666
36,-28451.4405970658,1123.8500000000004,32109.029763732484,932,818,0.6472222222222223
37,-35779.21697803502,1100.6000000000004,39189.133644701695,842,765,0.5847222222222223
38,-30737.477365217324,985.8500000000003,33739.59986521734,764,580,0.5305555555555556
39,-34255.22298954901,1092.3500000000004,37191.35048954903,778,655,0.5402777777777777
40,-30282.16859706317,1075.1500000000005,33805.65276372986,883,759,0.6131944444444445
41,-37944.701206782236,1130.9000000000005,41481.87954011559,899,734,0.6243055555555556
42,-24055.025366256403,1116.9500000000005,27578.046199589728,887,693,0.6159722222222223
43,-31640.992473172242,1048.75,34680.573306505605,781,559,0.5423611111111111
44,-44298.99272375356,931.3500000000001,47130.946890420266,727,608,0.5048611111111111
45,-33079.423098596046,888.2500000000002,35539.55559859605,703,557,0.48819444444444443
46,-31644.464413771035,973.2500000000001,34660.18358043775,794,594,0.5513888888888889
47,-30839.229332201205,1054.9000000000005,33988.05433220122,846,630,0.5875
48,-37124.8497950603,1079.9500000000003,40372.493961727,827,762,0.5743055555555555
49,-34870.668335722636,1088.9500000000003,37978.095835722685,793,681,0.5506944444444445
