episode,total_reward,total_energy_cost,total_lateness_penalty,jobs_completed,jobs_late,throughput
0,1153.3581942174656,-352.66666666666646,66.67513911587014,1427,101,0.9909722222222223
1,1160.210009814249,-352.66666666666646,59.823323519086905,1427,101,0.9909722222222223
2,1178.004423931865,-352.66666666666646,42.02890940147003,1427,87,0.9909722222222223
3,1165.634749307224,-352.66666666666646,54.3985840261111,1427,73,0.9909722222222223
4,1170.6384784205545,-352.66666666666646,49.3948549127807,1427,78,0.9909722222222223
5,1169.9377908124573,-352.66666666666646,50.095542520877835,1427,84,0.9909722222222223
6,1181.302751936839,-352.66666666666646,38.73058139649669,1427,87,0.9909722222222223
7,1149.1512287384107,-352.66666666666646,70.88210459492458,1427,102,0.9909722222222223
8,1165.5615215653424,-352.66666666666646,54.47181176799339,1427,81,0.9909722222222223
9,1166.836061216189,-352.66666666666646,53.19727211714661,1427,99,0.9909722222222223
