episode,total_reward,total_energy_cost,total_lateness_penalty,jobs_completed,jobs_late,throughput
0,1137.4685834825593,-341.0000000000001,48.11216917621647,1422,92,0.9875
1,1105.8507332402821,-329.00000000000006,75.93639052824824,1421,101,0.9868055555555556
2,1138.5118994382149,-342.66666666666663,43.74168626204587,1425,106,0.9895833333333334
3,1103.2070441909082,-347.00000000000017,57.155808254476064,1419,91,0.9854166666666667
4,1140.217222413282,-340.6666666666667,51.87143330712862,1427,111,0.9909722222222223
5,1129.4575733033314,-337.3333333333334,56.73120294948905,1426,102,0.9902777777777778
6,1114.2416484649812,-348.00000000000006,57.16862630282701,1426,86,0.9902777777777778
7,1135.7734905727316,-333.3333333333331,54.62641892192627,1426,92,0.9902777777777778
8,1098.0024526889133,-334.3333333333335,83.01909525546442,1425,96,0.9895833333333334
9,1115.357633136165,-338.66666666666674,56.5401631870999,1428,104,0.9916666666666667
