episode,total_reward,total_energy_cost,total_lateness_penalty,jobs_completed,jobs_late,throughput
0,-972.4913612210047,-278.0000000000006,1470.6440362857543,881,825,0.6118055555555556
1,-837.841002964928,-267.6666666666674,1440.0900571444,974,840,0.6763888888888889
2,-935.1074080660625,-268.0000000000007,1469.5785771010765,931,861,0.6465277777777778
3,-889.7394566979149,-277.0000000000006,1492.1382448152722,997,898,0.6923611111111111
4,-785.4482075069303,-271.6666666666673,1320.6379056605097,971,769,0.6743055555555556
5,-957.8385174680838,-275.33333333333405,1510.9081173956124,938,863,0.6513888888888889
6,-887.9941850555049,-258.0000000000005,1455.9094703432663,948,855,0.6583333333333333
7,-937.4412350896496,-258.3333333333337,1421.3525135855753,933,863,0.6479166666666667
8,-729.3133632760455,-281.66666666666725,1375.6898903419344,1041,823,0.7229166666666667
9,-888.3489144086046,-262.6666666666672,1373.1763001139643,904,810,0.6277777777777778
